Qubit,Pair,T1 (µs),T2 (µs),f1QRB,f1QRB std err,f1Q sim. RB,f1Q sim. RB std err,fRO,fISWAP,Avg T1,Avg T2,Avg f1QRB,Avg fRO
0,,45.35703538111058,37.32837184777793,0.9988342449404697,0.0000952560920522257,0.9982224167596686,0.00010179407275850847,0.98,,,,,
1,,16.732731907831422,2.902320763054078,0.9988943097231576,0.00002249626575805874,0.9973872090483592,0.00014356647289468443,0.957,,,,,
2,,29.268778440227905,18.8997607510899,0.9989771776176521,0.00003394706517230813,0.9983848830408648,0.00008913593416974994,0.974,,,,,
3,,55.63463638713628,28.032804500588426,0.9994691387465564,0.000025954651026290066,0.999134532133258,0.000044191299485456594,0.982,,,,,
4,,45.13539535788702,25.80345153724295,0.9985973652941382,0.00006953902274915621,0.9988679121238667,0.00011687894102552026,0.977,,,,,
5,,77.94632447111205,50.630171966048465,0.9995883969303775,0.000013175191902950297,0.9993227749963925,0.000009379802684253085,0.964,,,,,
6,,29.373157697243357,34.52695344008383,0.9993930485601163,0.000013771010510046142,0.999240380512192,0.00002391524332054297,0.983,,,,,
7,,34.74080528009793,29.641426564586126,0.9992436026489223,0.00003309051724853843,0.9987400234224217,0.00003873755241754838,0.983,,,,,
8,,43.658375655564186,24.584340456934584,0.9994009984972343,0.00001954341430300859,0.9986334375726998,0.00010823825525936049,0.981,,,,,
9,,34.61998958131929,16.20637006083392,0.9989164970124449,0.000039845012471679514,0.9983686842882553,0.00008711747810143815,0.979,,,,,
10,,34.592995968418805,14.54128124600551,0.9989693974247934,0.00005405315374649745,0.9812915784920049,0.012347959948036448,0.9199999999999999,,,,,
11,,56.02094384293821,27.749620701955635,0.9992741879908066,0.00002971817679336107,0.9989591685954298,0.00004394213950555912,0.966,,,,,
12,,47.79502843810235,26.878816651532134,0.9994466590048049,0.000023755199808877003,0.9989935857554911,0.000029190706116261575,0.977,,,,,
13,,41.914840841261736,1.7083241432569451,0.9961901669231595,0.0001700455762648405,0.995202816480564,0.00020732288935744925,0.952,,,,,
14,,29.41653804677813,22.14837514991075,0.9991594164293099,0.00002037390630729448,0.9987237107747456,0.00005423350264857723,0.958,,,,,
15,,36.065099946247514,21.30954589762979,0.9990070558757566,0.00001992620539573537,0.9986049920586499,0.00005621557794352436,0.959,,,,,
16,,35.349745873825,21.593347543591435,0.9989731149508917,0.00005805342254640488,0.9981405158520494,0.0001740201802225483,0.991,,,,,
17,,38.62813838928503,23.76112317037382,0.9992212879002713,0.000007800911206103443,0.9461154914000923,0.014433643017815662,0.966,,,,,
18,,33.07724024392833,18.36363299445587,0.9806168020007855,0.0019978187070014575,0.9799919069036302,0.0018057845607695093,0.983,,,,,
19,,45.08434725369881,27.992991934011613,0.9994987117467855,0.000021223740692422818,0.9991878062734927,0.000017846077528284016,0.964,,,,,
20,,34.78910597154439,31.958849883828577,0.9990569508699798,0.0000310191629996383,0.9983882051620879,0.000060077884374897486,0.984,,,,,
21,,54.82219845776015,20.0162336767562,0.9988623874347781,0.00003573543180936547,0.9979881100893531,0.00030515344266933577,0.995,,,,,
22,,32.051996726067955,23.299403295595766,0.9993159956578176,0.000012292921686627016,0.9987564622129776,0.00007248863058934497,0.989,,,,,
23,,32.17650989673082,17.040430448256316,0.9992568388455437,0.00003596482085871203,0.9990626144502713,0.000046887295734850474,0.9590000000000001,,,,,
24,,46.63081358446952,22.892783821060192,0.9991028335248993,0.00005801662514438735,0.9985849636955916,0.00008248970947886902,0.961,,,,,
25,,27.392112028179483,17.839297602684212,0.9991787538370998,0.000018619475161207316,0.9982808610357464,0.00004857914698324689,0.966,,,,,
26,,27.495483158279654,16.916174029768527,0.9990856493389406,0.000026765984367838623,0.998113753980899,0.000038367132787084456,0.911,,,,,
27,,8.114704417305774,19.660048131919794,0.9987923692763676,0.000058490128280556774,0.9972835535515947,0.00017010629856243346,0.991,,,,,
28,,18.351387277570907,22.946746374374882,0.9988664156682403,0.00013171904326475585,0.9977702943293048,0.00016465477325806023,0.967,,,,,
29,,21.84782047920386,17.97453648499925,0.9985347533275871,0.00004898251705717593,0.9980873612205433,0.00009672563135893107,0.953,,,,,
